| Year 1, Spring, day 30 8:00:00 AM | evac shelter | Bayonetta began their journey into the Cataclysm.
| Year 1, Spring, day 83 4:50:27 PM | science lab | Killed a NR-031 Dispatch.
| Year 1, Spring, day 86 8:34:21 PM | camp survey | Reached skill level 4 in first aid.
| Year 1, Summer, day 2 2:44:22 AM | camp survey | Installed bionic: Infrared Vision.
| Year 1, Summer, day 2 4:24:22 AM | camp survey | Installed bionic: Mini-Flamethrower.
| Year 1, Summer, day 4 12:20:50PM | field | Killed a zombie bio-operator.
| Year 1, Summer, day 8 10:35:23AM | solid rock | Became addicted to alcohol.
| Year 1, Summer, day 8 5:25:23 PM | camp survey | Overcame addiction to alcohol.
| Year 1, Summer, day 9 12:55:12AM | science lab | Killed a zombie master.
| Year 1, Summer, day 13 11:02:30AM | camp survey | Installed bionic: Blood Filter.
| Year 1, Summer, day 19 2:39:23 PM | camp survey | Reached skill level 4 in shotguns.
| Year 1, Summer, day 20 2:50:24 AM | camp survey | Reached skill level 4 in rifles.
| Year 1, Summer, day 21 9:51:57 PM | science lab | Installed bionic: Remote Controller.
| Year 1, Summer, day 22 12:42:49AM | science lab | Installed bionic: Uncanny Dodge.
| Year 1, Summer, day 22 4:23:50 AM | science lab | Installed bionic: Sonic Resonator.
| Year 1, Summer, day 22 6:54:48 AM | science lab | Installed bionic: Cable Charger System.
| Year 1, Summer, day 22 7:55:40 AM | science lab | Installed bionic: Electromagnetic Unit.
| Year 1, Summer, day 22 11:03:48AM | science lab | Installed bionic: Internal Furnace.
| Year 1, Summer, day 38 6:37:41 AM | field | Installed bionic: Power Armor Interface.
| Year 1, Summer, day 39 3:36:46 PM | field | Installed bionic: Repair Nanobots.
| Year 1, Summer, day 39 5:16:46 PM | field | Installed bionic: Kinetic Shock Absorbers.
| Year 1, Summer, day 42 1:05:00 PM | field | Killed a mi-go scout.
| Year 1, Summer, day 42 1:05:22 PM | field | Killed a mi-go scout.
| Year 1, Summer, day 42 1:05:44 PM | field | Killed a mi-go.
| Year 1, Summer, day 42 5:36:27 PM | pond | Killed a mi-go.
| Year 1, Summer, day 44 11:35:48AM | road | Installed bionic: Power Storage Mk. II.
| Year 1, Summer, day 44 1:15:48 PM | road | Installed bionic: Enhanced Memory Banks.
| Year 1, Summer, day 44 9:44:38 PM | camp survey | Reached skill level 8 in survival.
| Year 1, Summer, day 47 2:01:45 AM | dairy farm | Killed a owlbear.
| Year 1, Summer, day 47 5:21:51 PM | hospital | Became addicted to caffeine.
| Year 1, Summer, day 48 12:11:51AM | hospital | Overcame addiction to caffeine.
| Year 1, Summer, day 49 6:33:42 PM | bridge | Became addicted to caffeine.
| Year 1, Summer, day 50 8:09:41 AM | camp survey | Overcame addiction to caffeine.
